X1	Y1	X2	Y2
0	0	0	5000
57.6	0	57.6	5000
115.2	0	115.2	5000
172.8	0	172.8	5000
230.4	0	230.4	5000
288	0	288	5000
345.6	0	345.6	5000
403.2	0	403.2	5000
460.8	0	460.8	5000
518.4	0	518.4	5000
576	0	576	5000
633.6	0	633.6	5000
691.2	0	691.2	5000
748.8	0	748.8	5000
806.4	0	806.4	5000
864	0	864	5000
921.6	0	921.6	5000
979.2	0	979.2	5000
1036.8	0	1036.8	5000
1094.4	0	1094.4	5000
1152	0	1152	5000
1209.6	0	1209.6	5000
1267.2	0	1267.2	5000
1324.8	0	1324.8	5000
1382.4	0	1382.4	5000
1440	0	1440	5000
1497.6	0	1497.6	5000
1555.2	0	1555.2	5000
1612.8	0	1612.8	5000
1670.4	0	1670.4	5000
1728	0	1728	5000
1785.6	0	1785.6	5000
1843.2	0	1843.2	5000
1900.8	0	1900.8	5000
1958.4	0	1958.4	5000
2016	0	2016	5000
2073.6	0	2073.6	5000
2131.2	0	2131.2	5000
2188.8	0	2188.8	5000
2246.4	0	2246.4	5000
2304	0	2304	5000
2361.6	0	2361.6	5000
2419.2	0	2419.2	5000
2476.8	0	2476.8	5000
2534.4	0	2534.4	5000
2592	0	2592	5000
2649.6	0	2649.6	5000
2707.2	0	2707.2	5000
2764.8	0	2764.8	5000
2822.4	0	2822.4	5000
2880	0	2880	5000
2937.6	0	2937.6	5000
2995.2	0	2995.2	5000
3052.8	0	3052.8	5000
3110.4	0	3110.4	5000
3168	0	3168	5000
3225.6	0	3225.6	5000
3283.2	0	3283.2	5000
3340.8	0	3340.8	5000
3398.4	0	3398.4	5000
3456	0	3456	5000
3513.6	0	3513.6	5000
3571.2	0	3571.2	5000
3628.8	0	3628.8	5000
3686.4	0	3686.4	5000
3744	0	3744	5000
3801.6	0	3801.6	5000
3859.2	0	3859.2	5000
3916.8	0	3916.8	5000
3974.4	0	3974.4	5000
